,garment,error_stdev,trajectory,x,y,error
,A,Std_dev,1,0,0,0.001
,A,Std_dev,1,12.5,0,0.002
,A,Std_dev,1,25,0,0.018
,A,Std_dev,1,37.5,0,0.36
,A,Std_dev,1,0,12.5,0.003
,A,Std_dev,1,12.5,12.5,0.01
,A,Std_dev,1,25,12.5,0.13
,A,Std_dev,1,0,25,0.047
,A,Std_dev,1,12.5,25,0.009
,A,Std_dev,1,25,25,0.142
,A,Std_dev,1,0,37.5,0.113
,A,Et,1,0,0,0
,A,Et,1,12.5,0,0.002
,A,Et,1,25,0,0.013
,A,Et,1,37.5,0,0.244
,A,Et,1,0,12.5,0.001
,A,Et,1,12.5,12.5,0.006
,A,Et,1,25,12.5,0.077
,A,Et,1,0,25,0.018
,A,Et,1,12.5,25,0.007
,A,Et,1,25,25,0.08
,A,Et,1,0,37.5,0.098
,A,Std_dev,2,0,0,0.001
,A,Std_dev,2,12.5,0,0.003
,A,Std_dev,2,25,0,0.226
,A,Std_dev,2,37.5,0,0.449
,A,Std_dev,2,0,12.5,0.015
,A,Std_dev,2,12.5,12.5,0.01
,A,Std_dev,2,25,12.5,0.056
,A,Std_dev,2,0,25,0.051
,A,Std_dev,2,12.5,25,0.031
,A,Std_dev,2,25,25,0.075
,A,Std_dev,2,0,37.5,0.201
,A,Et,2,0,0,0.001
,A,Et,2,12.5,0,0.002
,A,Et,2,25,0,0.128
,A,Et,2,37.5,0,0.413
,A,Et,2,0,12.5,0.005
,A,Et,2,12.5,12.5,0.007
,A,Et,2,25,12.5,0.037
,A,Et,2,0,25,0.048
,A,Et,2,12.5,25,0.02
,A,Et,2,25,25,0.047
,A,Et,2,0,37.5,0.161
