,garment,zone,trajectory,x,y,error
,B,GZ,1,0,0,0
,B,GZ,1,12.5,0,0
,B,GZ,1,25,0,0
,B,GZ,1,37.5,0,0.107
,B,GZ,1,0,12.5,0.048
,B,GZ,1,12.5,12.5,0.003
,B,GZ,1,25,12.5,0
,B,GZ,1,0,25,0.118
,B,GZ,1,12.5,25,0.067
,B,GZ,1,25,25,0.019
,B,GZ,1,0,37.5,0.143
,B,HZ,1,2,0,0.003
,B,HZ,1,14.5,0,0.006
,B,HZ,1,27,0,0.006
,B,HZ,1,39.5,0,0.1
,B,HZ,1,2,12.5,0.028
,B,HZ,1,14.5,12.5,0
,B,HZ,1,27,12.5,0.012
,B,HZ,1,2,25,0
,B,HZ,1,14.5,25,0
,B,HZ,1,27,25,0.013
,B,HZ,1,2,37.5,0.11
,B,GZ,2,0,0,0.001
,B,GZ,2,12.5,0,0
,B,GZ,2,25,0,0
,B,GZ,2,37.5,0,0.04
,B,GZ,2,0,12.5,0.003
,B,GZ,2,12.5,12.5,0.001
,B,GZ,2,25,12.5,0
,B,GZ,2,0,25,0.009
,B,GZ,2,12.5,25,0.004
,B,GZ,2,25,25,0.069
,B,GZ,2,0,37.5,0.067
,B,HZ,2,2,0,0.011
,B,HZ,2,14.5,0,0.019
,B,HZ,2,27,0,0.015
,B,HZ,2,39.5,0,0.013
,B,HZ,2,2,12.5,0.011
,B,HZ,2,14.5,12.5,0.015
,B,HZ,2,27,12.5,0.013
,B,HZ,2,2,25,0.003
,B,HZ,2,14.5,25,0.009
,B,HZ,2,27,25,0.009
,B,HZ,2,2,37.5,0.004
