File,Class_GT,Class_GT_n,M1,M2,M3,M4
o1-01_gr_e01,B,1,0.054170354050642286,0.06229402310282718,0.04590776646062887,0.045328350772889416
o1-01_gr_e02,B,1,0.05220642390204082,0.05807474782608693,0.040118786717144396,0.07131508834027364
o1-01_gr_e03,B,1,0.03982323611828407,0.06956482148225232,0.0468442191107165,0.05363991512573967
o1-04_gr_e04,B,1,0.02961070355875379,0.03091967961962576,0.027209764521953575,0.029506527275616125
o1-04_gr_e05,B,1,0.03216822587148804,0.03344971068203053,0.02952791912826782,0.032987505578231296
o1-04_gr_e06,B,1,0.03091509220968442,0.029456432281494166,0.02777529437545654,0.02871344265681624
o2-01_gr_e01,B,1,0.059784246141975354,0.10657953388822836,0.07290937995464854,0.11938003850156098
o2-01_gr_e02,B,1,0.058438084481175365,0.09469186937716262,0.04764613730267602,0.1780360123966942
o2-01_gr_e03,B,1,0.04151856247597077,0.28214965277777776,0.05146329318418315,0.09465769320672021
o2-04_gr_e04,D,3,0.025444748858110173,0.1788145422592207,0.01844942795666414,0.2630572693373645
o2-04_gr_e05,D,3,0.029385425916824175,0.11602772526400375,0.01914666946586616,0.1161377799823633
o2-04_gr_e06,D,3,0.028766141943978415,0.11718152035502963,0.020627839793281644,0.08189692063277444
o2-07_gr_e07,B,1,0.04009899654241862,0.04681622791914389,0.03350368590151108,0.04111184236396891
o2-07_gr_e08,B,1,0.03950027659771392,0.044179212578124974,0.04325505357540656,0.040012806332179914
o2-07_gr_e09,B,1,0.05704012667283899,0.04555535414413197,0.04865173276660214,0.03876231563217004
o2-10_gr_e10,B,1,0.030680336894132663,0.04160567354000425,0.032326747436523445,0.04301683098684646
o2-10_gr_e11,A,0,0.017499927183364843,0.06823163371488034,0.019642443937180423,0.09136464653795912
o2-10_gr_e12,B,1,0.024345982983775206,0.04911795211612781,0.02287275869822484,0.045915277217456855
o5-01_gr_e01,B,1,0.044330441177453314,0.1292205555874749,0.04758571783088235,0.08971850751167786
o5-01_gr_e02,B,1,0.042984285491107194,0.07355398372708555,0.0659512738519046,0.08023582925925923
o5-01_gr_e03,B,1,0.04905701326388888,0.07779298822996826,0.04819656335449216,0.08683098559556783
o5-04_gr_e04,D,3,0.0232763506925993,1,0.030934945739690543,1
o5-04_gr_e05,D,3,0.0222088292025122,1,0.02665492112406551,0.5852757343750001
o5-04_gr_e06,D,3,0.025406011358677705,1,0.030192102059034727,1
o5-07_gr_e07,B,1,0.03290330428642044,0.06067690659268067,0.037062228843537416,0.04365432819999999
o5-07_gr_e08,B,1,0.04472495122149174,0.046137115833333305,0.023346926878520562,0.028617817604110328
o5-07_gr_e09,B,1,0.04090481559273761,0.05600497332341373,0.03839467261342154,0.03912481712372449
o5-10_gr_e10,A,0,0.030902967978395042,0.04809171691176468,0.01926094280737407,0.035745084558823526
o5-10_gr_e11,A,0,0.024121619524067033,0.06306905637738328,0.01431845238919664,0.025763605925925897
o5-10_gr_e12,A,0,0.02493450581395351,0.06288664088696592,0.01431232773545709,0.024828895419279445
