File,GT,Pred,2x2,Pred,3x3,Pred,4x4,Pred,5x5,Pred,6x6,Pred,7x7,Pred,10x10
o1_gr_e01,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e02,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e03,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e04,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e05,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e06,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e07,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e08,A,A,1,A,1,A,1,A,1,A1,0,A,1,A,1
o1_gr_e09,A,A,1,A,1,A,1,A,1,A1,0,A,1,A,1
o1_gr_e10,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e11,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o1_gr_e12,A,A,1,A,1,A,1,A,1,A,1,A,1,A,1
o2_gr_e01,C,C,1,C,1,C,1,C,1,B,0,B,0,B,0
o2_gr_e02,C,B,0,C,1,C,1,C,1,B,0,B,0,B,0
o2_gr_e03,C,C,1,C,1,C,1,C,1,B,0,B,0,B,0
o2_gr_e04,B,C,0,D,0,B,1,B1,0,B2,0,C,0,B2,0
o2_gr_e05,D,D,0,D,1,B,0,B1,0,B2,0,C,0,B2,0
o2_gr_e06,D,D,0,D,1,B,0,B1,0,B2,0,C,0,B2,0
o2_gr_e07,B,C,0,B,1,B,1,B1,0,B2,0,B1,0,B2,0
o2_gr_e08,B,C,0,B,1,B,1,B1,0,B2,0,B1,0,B2,0
o2_gr_e09,B,C,0,B,1,B,1,B1,0,B2,0,B1,0,B2,0
o2_gr_e10,C,C,1,C,1,C,1,C,1,B,0,C,1,B,0
o2_gr_e11,C,C,1,C,1,C,1,C,1,B,0,C,1,B,0
o2_gr_e12,C,C,1,C,1,C,1,C,1,B2,0,C,1,B,0
o3_gr_e01,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o3_gr_e02,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o3_gr_e03,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o3_gr_e04,C,B,0,C,1,C,1,B,0,B,0,B,0,B,0
o3_gr_e05,B,B,1,A,0,C,0,B,1,B,1,B,1,B,1
o3_gr_e06,B,B,1,A,0,C,0,B,1,B,1,B,1,B,1
o3_gr_e07,C,B,0,A,0,C,1,B,0,B,0,B,0,B,0
o3_gr_e08,B,B,1,A,0,C,0,B,1,B,1,B,1,B,1
o3_gr_e09,C,B,0,A,0,C,1,B,0,B,0,B,0,B,0
o3_gr_e10,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o3_gr_e11,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o3_gr_e12,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o4_gr_e01,A,A,1,A,1,A,1,A,1,A,1,A,1,A1,0
o4_gr_e02,A,A,1,A,1,A,1,A,1,A,1,A,1,A1,0
o4_gr_e03,A,A,1,A,1,A,1,A,1,A,1,A,1,A1,0
o4_gr_e04,A,A,1,A,1,A,1,A,1,A1,0,A,1,A1,0
o4_gr_e05,A,A,1,A,1,A,1,A,1,A1,0,A,1,A1,0
o4_gr_e06,A,A,1,A,1,A,1,A,1,A1,0,A,1,A1,0
o4_gr_e07,A,A,1,A,1,A,1,A,1,A1,0,A,1,A1,0
o4_gr_e08,A,A,1,A,1,A,1,A,1,A1,0,A,1,A1,0
o4_gr_e09,A,A,1,A,1,A,1,A,1,A1,0,A,1,A1,0
o4_gr_e10,A,A,1,A,1,A,1,A,1,A,1,A,1,A1,0
o4_gr_e11,A,A,1,A,1,A,1,A,1,A,1,A,1,A1,0
o4_gr_e12,A,A,1,A,1,A,1,A,1,A,1,A,1,A1,0
o5_gr_e01,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o5_gr_e02,B,B,1,A,0,B,1,B,1,B,1,B1,0,B2,0
o5_gr_e03,B,B,1,A,0,B,1,B,1,B,1,B1,0,B,1
o5_gr_e04,B,B,1,C,0,B1,0,B,1,B,1,B,1,B,1
o5_gr_e05,B,B,1,C,0,C,0,B,1,B,1,B,1,B,1
o5_gr_e06,B,B,1,C,0,C,0,B,1,B,1,B,1,B,1
o5_gr_e07,D,D,0,A,0,B1,0,B,0,B,0,B1,0,B2,0
o5_gr_e08,B,B,1,A,0,C,0,B,1,B,1,B,1,B,1
o5_gr_e09,B,B,1,A,0,B1,0,B,1,B,1,B,1,B2,0
o5_gr_e10,B,B,1,A,0,B1,0,B,1,B,1,B,1,B,1
o5_gr_e11,B,B,1,A,0,B1,0,B,1,B,1,B,1,B,1
o5_gr_e12,C,B,0,A,0,B1,0,B,0,B,0,B1,0,B2,0
Total,-,-,80,-,60,-,76.667,-,81.667,-,58.333,-,61.667,-,36.667
Success A,-,-,1,-,1,-,1,-,1,-,0.667,-,1,-,0.5
Success B,-,-,0.76,-,0.12,-,0.52,-,0.76,-,0.76,-,0.4,-,0.4
Success C,-,-,0.455,-,0.636,-,0.818,-,0.545,-,0,-,0.273,-,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,pero me separa towels de waffles
